,,rel_nodes_new,rel_edges_new,max_nodes_new,pos_max_nodes_new,min_nodes_new,pos_min_nodes_new,max_edges_new,pos_max_edges_new,min_edges_new,pos_min_edges_new
64,"tensor(8783, device='cuda:7')","tensor([0., 0., 0.,  ..., 0., 0., 0.], grad_fn=<SumBackward1>)","tensor([[0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.]], grad_fn=<SumBackward1>)",2.272648811340332,8783,-3.1825528144836426,18185,2.1372690200805664,"tensor([[  12, 8783]])",-3.1728506088256836,"tensor([[   18, 18185]])"
48,"tensor(14021, device='cuda:7')","tensor([0., 0., 0.,  ..., 0., 0., 0.], grad_fn=<SumBackward1>)","tensor([[0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.]], grad_fn=<SumBackward1>)",2.2309842109680176,11620,-2.536175012588501,15104,2.226806640625,"tensor([[   10, 11620]])",-2.539865732192993,"tensor([[   18, 15104]])"
62,"tensor(6607, device='cuda:7')","tensor([0., 0., 0.,  ..., 0., 0., 0.], grad_fn=<SumBackward1>)","tensor([[0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.]], grad_fn=<SumBackward1>)",1.004836916923523,6607,-1.7010831832885742,15665,1.0698471069335938,"tensor([[  18, 6607]])",-1.910266399383545,"tensor([[    0, 15665]])"
