nconst,actor,primaryName,actress,knownForTitles,director,tconst,titleType,originalTitle,startYear,Drama,Comedy,Romance,Thriller,genres,job
nm0218876,1,Ange Denard,0,tt0104571,0,tt0104571,movie,Joy et Joan chez les pharaons,1993,0,0,1,0,Romance,actor
nm1428766,0,Stéphanie Julienne,1,tt0104571,0,tt0104571,movie,Joy et Joan chez les pharaons,1993,0,0,1,0,Romance,actress
nm2693588,1,Bill Talma,0,tt0104571,0,tt0104571,movie,Joy et Joan chez les pharaons,1993,0,0,1,0,Romance,actor
nm0218953,0,Rhoda Dendron,1,tt0000615,0,tt0000615,movie,Robbery Under Arms,1907,1,0,0,0,Drama,actress
nm0240418,1,William Duff,0,tt0000615,0,tt0000615,movie,Robbery Under Arms,1907,1,0,0,0,Drama,actor
nm0346387,1,Arthur Guest,0,tt0000615,0,tt0000615,movie,Robbery Under Arms,1907,1,0,0,0,Drama,actor
nm0581353,1,George Merriman,0,tt0000615,0,tt0000615,movie,Robbery Under Arms,1907,1,0,0,0,Drama,actor
nm0219506,0,Marien Dennis,1,tt0008106,0,tt0008106,movie,His Father's Son,1917,0,1,0,0,Comedy,actress
nm0219975,0,Anne Deon,1,tt0106334,0,tt0106334,movie,The Baby Doll Murders,1993,0,0,0,1,Thriller,actress
nm0221356,1,Antonio Desman,0,tt0111391,0,tt0111391,movie,Temptation,1994,0,0,0,1,Thriller,actor
nm0803539,1,Elvis Sjostrom,0,tt0111391,0,tt0111391,movie,Temptation,1994,0,0,0,1,Thriller,actor
nm0221441,0,Evelyn Desmond,1,tt0004978,0,tt0004978,movie,Blackbirds,1915,1,0,0,0,Drama,actress
