nconst,actor,primaryName,actress,knownForTitles,director,tconst,titleType,originalTitle,startYear,Drama,Comedy,Romance,Thriller,genres,job
nm0751351,1,Mr. Russell,0,tt0009400,0,tt0009400,movie,Mr. Fix-It,1918,0,1,0,0,Comedy,actor
nm0360092,0,Marguerite Hanley,1,tt0005329,0,tt0005329,movie,The Flame of Passion,1915,1,0,0,0,Drama,actress
nm0382772,0,Lida Hickok,1,tt0005329,0,tt0005329,movie,The Flame of Passion,1915,1,0,0,0,Drama,actress
nm0506845,1,William Lewin,0,tt0005329,0,tt0005329,movie,The Flame of Passion,1915,1,0,0,0,Drama,actor
nm0365742,1,Mark Harrison,0,tt0004660,0,tt0004660,movie,A Suspicious Wife,1914,1,0,0,0,Drama,actor
nm0790379,0,Valerie Sheahan,1,tt0004660,0,tt0004660,movie,A Suspicious Wife,1914,1,0,0,0,Drama,actress
nm5454097,0,Dorothy Dahl,1,tt0004660,0,tt0004660,movie,A Suspicious Wife,1914,1,0,0,0,Drama,actress
nm0365927,1,W.F. Harrison,0,tt0004950,0,tt0004950,movie,The Beachcomber,1915,1,0,0,0,Drama,actor
nm0367554,1,J. Harvey,0,tt0004950,0,tt0004950,movie,The Beachcomber,1915,1,0,0,0,Drama,actor
nm0706675,1,Mr. Rahawanaku,0,tt0004950,0,tt0004950,movie,The Beachcomber,1915,1,0,0,0,Drama,actor
nm0906448,1,Dan Waid,0,tt0004950,0,tt0004950,movie,The Beachcomber,1915,1,0,0,0,Drama,actor
nm0366605,1,Carl Hartberg,0,tt0002746,0,tt0002746,movie,Checkers,1913,0,1,0,0,Comedy,actor
nm0852829,0,Marie Taylor,1,tt0002746,0,tt0002746,movie,Checkers,1913,0,1,0,0,Comedy,actress
nm0941760,0,Harriet Worthington,1,tt0002746,0,tt0002746,movie,Checkers,1913,0,1,0,0,Comedy,actress
nm0366874,0,Nellie Hartley,1,tt0008354,0,tt0008354,movie,The Mystery of No. 47,1917,0,1,0,0,Comedy,actress
nm0367823,1,John Harwood,0,tt0008438,0,tt0008438,movie,Please Help Emily,1917,0,1,0,0,Comedy,actor
nm0368128,0,Helen Haskell,1,tt0009475,0,tt0009475,movie,A Pair of Silk Stockings,1918,0,1,0,0,Comedy,actress
nm0370305,0,Alice Hawley,1,tt0007946,0,tt0007946,movie,Filling His Own Shoes,1917,0,1,0,0,Comedy,actress
nm0519082,0,Louise Long,1,tt0007946,0,tt0007946,movie,Filling His Own Shoes,1917,0,1,0,0,Comedy,actress
nm0370515,0,Julia Hay,1,tt0005140,0,tt0005140,movie,The Cotton King,1915,1,0,0,0,Drama,actress
nm0373355,0,Martha Hedman,1,tt0005163,0,tt0005163,movie,The Cub,1915,0,1,0,0,Comedy,actress
nm0374520,0,Grace Heins,1,tt0006592,0,tt0006592,movie,Diane of the Follies,1916,0,1,0,0,Comedy,actress
nm0797096,0,Mercedes Le Picard,1,tt0006592,0,tt0006592,movie,Diane of the Follies,1916,0,1,0,0,Comedy,actress
nm0374976,1,Charles Helen,0,tt0071136,0,tt0071136,movie,L'amour aux trousses,1975,0,0,0,1,Thriller,actor
nm0377053,0,Charles V. Henkel,0,tt0004696,1,tt0004696,movie,The Three Musketeers,1914,1,0,0,0,Drama,director
nm0377891,0,Katherine Henry,1,tt0004842,0,tt0004842,movie,Your Girl and Mine: A Woman Suffrage Play,1914,1,0,0,0,Drama,actress
nm5454328,0,Ruth Grove,1,tt0004842,0,tt0004842,movie,Your Girl and Mine: A Woman Suffrage Play,1914,1,0,0,0,Drama,actress
nm5455176,0,Margaret Collier,1,tt0004842,0,tt0004842,movie,Your Girl and Mine: A Woman Suffrage Play,1914,1,0,0,0,Drama,actress
nm0377976,1,R.J. Henry,0,tt0003871,0,tt0003871,movie,The Eagle's Mate,1914,1,0,0,0,Drama,actor
nm0381250,0,Rosa Herzberg,1,tt0106382,0,tt0106382,movie,Belle,1993,0,0,1,0,Romance,actress
nm0473892,1,Ulf-Maria Kuehne,0,tt0106382,0,tt0106382,movie,Belle,1993,0,0,1,0,Romance,actor
nm0998422,0,Coos van Eijk,1,tt0106382,0,tt0106382,movie,Belle,1993,0,0,1,0,Romance,actress
nm0999301,0,Ilse Roest,1,tt0106382,0,tt0106382,movie,Belle,1993,0,0,1,0,Romance,actress
nm10103187,1,Bastiaan Dijt,0,tt0106382,0,tt0106382,movie,Belle,1993,0,0,1,0,Romance,actor
nm0381677,1,James Hester,0,tt0004363,0,tt0004363,movie,Mrs. Black Is Back,1914,0,1,0,0,Comedy,actor
nm0383814,0,Jewel Hilburn,1,tt0005634,0,tt0005634,movie,The Little Miss Brown,1915,0,1,0,0,Comedy,actress
nm0387509,0,Marjorie Hoare,1,tt0138154,0,tt0138154,movie,Unrest,1920,0,0,1,0,Romance,actress
nm0388196,0,Maxine Hodges,1,tt0004182,0,tt0004182,movie,The Jungle,1914,1,0,0,0,Drama,actress
nm0564487,0,May McCabe,1,tt0004182,0,tt0004182,movie,The Jungle,1914,1,0,0,0,Drama,actress
nm0802481,1,Nickelas Sinnerella,0,tt0004182,0,tt0004182,movie,The Jungle,1914,1,0,0,0,Drama,actor
nm0388571,1,Mark Hoerr,0,tt0111506,0,tt0111506,movie,Tryst,1994,0,0,1,0,Romance,actor
nm0658088,1,Tom Palmer Jr.,0,tt0111506,0,tt0111506,movie,Tryst,1994,0,0,1,0,Romance,actor
nm0388972,1,John-Kenneth Hoffman,0,tt0095333,0,tt0095333,movie,The House on Carroll Street,1988,0,0,0,1,Thriller,actor
nm0556713,1,Gaylord C. Mason,0,tt0095333,0,tt0095333,movie,The House on Carroll Street,1988,0,0,0,1,Thriller,actor
nm0856690,1,James Tew,0,tt0095333,0,tt0095333,movie,The House on Carroll Street,1988,0,0,0,1,Thriller,actor
nm0389510,1,D. Hogan,0,tt0003677,0,tt0003677,movie,The Better Man,1914,1,0,0,0,Drama,actor
nm0389893,0,Esther Hoier,1,tt0005190,0,tt0005190,movie,Destruction,1915,1,0,0,0,Drama,actress
nm0390502,0,Zdena Holicka,1,tt0114321,0,tt0114321,movie,Sacred Cargo,1995,0,0,0,1,Thriller,actress
nm0726025,0,Lenka Ridoskova,1,tt0114321,0,tt0114321,movie,Sacred Cargo,1995,0,0,0,1,Thriller,actress
nm0780645,1,Fuller Sean,0,tt0114321,0,tt0114321,movie,Sacred Cargo,1995,0,0,0,1,Thriller,actor
nm0391199,1,John Hollis,0,tt0006252,0,tt0006252,movie,What Happened to Father,1915,0,1,0,0,Comedy,actor
nm0391889,1,Joe Holmes,0,tt0008724,0,tt0008724,movie,The Upper Crust,1917,0,1,0,0,Comedy,actor
nm0392854,0,Sylvia Holzmayer,1,tt0056423,0,tt0056423,movie,Romanze in Venedig,1962,0,0,1,0,Romance,actress
nm0395042,1,L.M. Horne,0,tt0005245,0,tt0005245,movie,An Enemy to Society,1915,1,0,0,0,Drama,actor
nm0399454,1,Harold Hubert,0,tt0004942,0,tt0004942,movie,The Battle Cry of Peace,1915,1,0,0,0,Drama,actor
nm0402003,0,Josephine Humphreys,1,tt0007149,0,tt0007149,movie,The Other Side of the Door,1916,0,0,1,0,Romance,actress
nm0402600,1,Philip Hunt,0,tt0007834,0,tt0007834,movie,The Dancer's Peril,1917,0,0,1,0,Romance,actor
nm0467179,1,Alexis Kosloff,0,tt0007834,0,tt0007834,movie,The Dancer's Peril,1917,0,0,1,0,Romance,actor
nm0404366,0,Kathryn Hutchinson,1,tt0008625,0,tt0008625,movie,The Square Deceiver,1917,0,1,0,0,Comedy,actress
nm0406615,0,Clara Ibáñez,1,tt0018503,0,tt0018503,movie,El tren fantasma,1927,0,0,1,0,Romance,actress
nm4759635,1,Neto Rodríguez Pasquel,0,tt0018503,0,tt0018503,movie,El tren fantasma,1927,0,0,1,0,Romance,actor
nm4759675,1,Carrera Sr.,0,tt0018503,0,tt0018503,movie,El tren fantasma,1927,0,0,1,0,Romance,actor
nm4759810,1,Enrique Rivadeneyra,0,tt0018503,0,tt0018503,movie,El tren fantasma,1927,0,0,1,0,Romance,actor
nm4759841,1,Carlos Sánchez Alducín,0,tt0018503,0,tt0018503,movie,El tren fantasma,1927,0,0,1,0,Romance,actor
nm4760038,1,Vecino Orizaba,0,tt0018503,0,tt0018503,movie,El tren fantasma,1927,0,0,1,0,Romance,actor
nm4760048,1,Rafael Araiza,0,tt0018503,0,tt0018503,movie,El tren fantasma,1927,0,0,1,0,Romance,actor
nm4760372,0,Angelita Ibáñez,1,tt0018503,0,tt0018503,movie,El tren fantasma,1927,0,0,1,0,Romance,actress
nm4760500,1,Sr. Sánchez Tello,0,tt0018503,0,tt0018503,movie,El tren fantasma,1927,0,0,1,0,Romance,actor
nm0406988,1,Klaus Iffländer,0,tt0068017,0,tt0068017,movie,Zoff,1972,0,0,1,0,Romance,actor
nm0461265,0,Ingeborg Knodt,1,tt0068017,0,tt0068017,movie,Zoff,1972,0,0,1,0,Romance,actress
nm0618216,1,K.D. Müller,0,tt0068017,0,tt0068017,movie,Zoff,1972,0,0,1,0,Romance,actor
nm0766573,1,Dieter Sauer,0,tt0068017,0,tt0068017,movie,Zoff,1972,0,0,1,0,Romance,actor
nm0409091,0,Lina Inigo,1,tt0063387,0,tt0063387,movie,The Omegans,1968,0,0,1,0,Romance,actress
