,,rel_nodes_new,rel_edges_new,max_nodes_new,pos_max_nodes_new,min_nodes_new,pos_min_nodes_new,max_edges_new,pos_max_edges_new,min_edges_new,pos_min_edges_new
0,"tensor(268, device='cuda:7')","tensor([0., 0., 0.,  ..., 0., 0., 0.], grad_fn=<SumBackward1>)","tensor([[0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.]], grad_fn=<SumBackward1>)",1.991685152053833,1428,-1.002725601196289,268,1.5694433450698853,"tensor([[   2, 1428]])",-1.0027613639831543,"tensor([[ 12, 268]])"
2,"tensor(1493, device='cuda:7')","tensor([0., 0., 0.,  ..., 0., 0., 0.], grad_fn=<SumBackward1>)","tensor([[0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.]], grad_fn=<SumBackward1>)",1.6953694820404053,401,-1.0934535264968872,2448,1.6953694820404053,"tensor([[  7, 401]])",-1.2219641208648682,"tensor([[   0, 2448]])"
7,"tensor(2032, device='cuda:7')","tensor([0., 0., 0.,  ..., 0., 0., 0.], grad_fn=<SumBackward1>)","tensor([[0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.]], grad_fn=<SumBackward1>)",1.574196696281433,401,-0.8012271523475647,1996,1.574196696281433,"tensor([[  7, 401]])",-0.42430782318115234,"tensor([[   6, 1996]])"
