,,rel_nodes_new,rel_edges_new,max_nodes_new,pos_max_nodes_new,min_nodes_new,pos_min_nodes_new,max_edges_new,pos_max_edges_new,min_edges_new,pos_min_edges_new
34,"tensor(1905, device='cuda:7')","tensor([0.0000e+00, 4.6470e-09, 2.4323e-07,  ..., 0.0000e+00, 0.0000e+00,
        0.0000e+00], grad_fn=<SumBackward1>)","tensor([[0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.]], grad_fn=<SumBackward1>)",5.009320259094238,811,-4.757650375366211,1910,5.009320259094238,"tensor([[  0, 811]])",-5.409265041351318,"tensor([[  48, 1910]])"
2,"tensor(2590, device='cuda:7')","tensor([ 0.0000e+00, -2.2189e-07, -4.3988e-06,  ...,  0.0000e+00,
         0.0000e+00,  0.0000e+00], grad_fn=<SumBackward1>)","tensor([[0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.]], grad_fn=<SumBackward1>)",2.879350185394287,811,-3.9007978439331055,1910,2.879350185394287,"tensor([[  0, 811]])",-3.0921897888183594,"tensor([[  48, 1910]])"
25,"tensor(695, device='cuda:7')","tensor([0.0000e+00, 5.2120e-09, 2.7281e-07,  ..., 0.0000e+00, 0.0000e+00,
        0.0000e+00], grad_fn=<SumBackward1>)","tensor([[0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.]], grad_fn=<SumBackward1>)",3.786860466003418,811,-2.2640748023986816,1910,3.786860466003418,"tensor([[  0, 811]])",-4.082838535308838,"tensor([[  48, 1910]])"
