,,rel_nodes_new,rel_edges_new,max_nodes_new,pos_max_nodes_new,min_nodes_new,pos_min_nodes_new,max_edges_new,pos_max_edges_new,min_edges_new,pos_min_edges_new
35,"tensor(787, device='cuda:7')","tensor([ 0.0000e+00, -2.8959e-06,  0.0000e+00,  ...,  0.0000e+00,
         0.0000e+00,  0.0000e+00], grad_fn=<SumBackward1>)","tensor([[0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.]], grad_fn=<SumBackward1>)",2.0321249961853027,24,-3.00195574760437,195,2.0321249961853027,"tensor([[ 0, 24]])",-2.8805599212646484,"tensor([[ 42, 195]])"
20,"tensor(1668, device='cuda:7')","tensor([ 0.0000e+00, -4.8144e-06,  0.0000e+00,  ...,  0.0000e+00,
         0.0000e+00,  0.0000e+00], grad_fn=<SumBackward1>)","tensor([[0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.]], grad_fn=<SumBackward1>)",1.1972774267196655,1849,-1.021233320236206,1226,0.6340760588645935,"tensor([[  42, 1849]])",-1.021233320236206,"tensor([[  27, 1226]])"
22,"tensor(572, device='cuda:7')","tensor([ 0.0000e+00,  5.0865e-07, -1.8980e-03,  ..., -5.9546e-04,
         0.0000e+00, -1.2988e-03], grad_fn=<SumBackward1>)","tensor([[ 0.0000,  0.0000,  0.0000,  ...,  0.0000,  0.0000,  0.0000],
        [ 0.0000,  0.0000,  0.0000,  ...,  0.0000,  0.0000,  0.0000],
        [ 0.0000,  0.0000,  0.0000,  ...,  0.0000,  0.0000,  0.0000],
        ...,
        [ 0.0000,  0.0000,  0.0000,  ...,  0.0000,  0.0000,  0.0000],
        [ 0.0000,  0.0000,  0.0000,  ...,  0.0000,  0.0000,  0.0000],
        [ 0.0000,  0.0000, -0.0018,  ..., -0.0007,  0.0000, -0.0011]],
       grad_fn=<SumBackward1>)",1.0269520282745361,1226,-0.13914938271045685,1849,0.9937071800231934,"tensor([[  27, 1226]])",-0.0802059918642044,"tensor([[   0, 1849]])"
