,,rel_nodes_new,rel_edges_new,max_nodes_new,pos_max_nodes_new,min_nodes_new,pos_min_nodes_new,max_edges_new,pos_max_edges_new,min_edges_new,pos_min_edges_new
33,"tensor(1996, device='cuda:7')","tensor([-8.1854e-07,  0.0000e+00, -2.4123e-06,  ..., -1.0614e-06,
         3.8919e-07, -9.6440e-05], grad_fn=<SumBackward1>)","tensor([[0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.]], grad_fn=<SumBackward1>)",95.48748016357422,1356,-101.90520477294922,1996,95.48748016357422,"tensor([[   1, 1356]])",-101.927978515625,"tensor([[  48, 1996]])"
32,"tensor(510, device='cuda:7')","tensor([-3.7270e-06,  0.0000e+00, -1.1021e-05,  ..., -4.7780e-06,
         1.6492e-06,  0.0000e+00], grad_fn=<SumBackward1>)","tensor([[0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.]], grad_fn=<SumBackward1>)",14.326018333435059,510,-29.181537628173828,952,13.61027717590332,"tensor([[   1, 1610]])",-28.531789779663086,"tensor([[ 30, 952]])"
14,"tensor(1132, device='cuda:7')","tensor([-5.6585e-07,  0.0000e+00, -1.6733e-06,  ..., -7.2542e-07,
         2.5039e-07, -2.2560e-04], grad_fn=<SumBackward1>)","tensor([[0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.]], grad_fn=<SumBackward1>)",15.717589378356934,1132,-24.086015701293945,1374,7.963529586791992,"tensor([[   0, 1132]])",-24.023839950561523,"tensor([[  30, 1374]])"
