,,rel_nodes_new,rel_edges_new,max_nodes_new,pos_max_nodes_new,min_nodes_new,pos_min_nodes_new,max_edges_new,pos_max_edges_new,min_edges_new,pos_min_edges_new
7,"tensor(1812, device='cuda:7')","tensor([2.1985e-06, 0.0000e+00, 0.0000e+00,  ..., 0.0000e+00, 0.0000e+00,
        9.1014e-06], grad_fn=<SumBackward1>)","tensor([[0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.]], grad_fn=<SumBackward1>)",2.1479358673095703,2806,-2.2199292182922363,1760,1.0786627531051636,"tensor([[   8, 2806]])",-2.2198126316070557,"tensor([[  48, 1760]])"
26,"tensor(1996, device='cuda:7')","tensor([-2.1597e-07, -1.5594e-05, -1.2901e-06,  ..., -1.0607e-06,
         0.0000e+00, -1.0517e-06], grad_fn=<SumBackward1>)","tensor([[0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.]], grad_fn=<SumBackward1>)",0.6531936526298523,2729,-1.8836451768875122,1996,0.7517368793487549,"tensor([[ 30, 769]])",-1.910720944404602,"tensor([[  48, 1996]])"
18,"tensor(1105, device='cuda:7')","tensor([1.7288e-05, 0.0000e+00, 0.0000e+00,  ..., 0.0000e+00, 0.0000e+00,
        7.1567e-05], grad_fn=<SumBackward1>)","tensor([[0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.]], grad_fn=<SumBackward1>)",4.901559829711914,1516,-2.211712598800659,2012,4.841363430023193,"tensor([[  30, 1516]])",-2.211712598800659,"tensor([[   1, 2012]])"
