,,rel_nodes_new,rel_edges_new,max_nodes_new,pos_max_nodes_new,min_nodes_new,pos_min_nodes_new,max_edges_new,pos_max_edges_new,min_edges_new,pos_min_edges_new
18,"tensor(1374, device='cuda:7')","tensor([ 0.0000e+00, -2.4088e-06,  0.0000e+00,  ...,  0.0000e+00,
         0.0000e+00,  0.0000e+00], grad_fn=<SumBackward1>)","tensor([[0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.]], grad_fn=<SumBackward1>)",1.398834228515625,1860,-0.5995346903800964,2481,1.398834228515625,"tensor([[  27, 1860]])",-0.5900712013244629,"tensor([[  42, 2481]])"
14,"tensor(856, device='cuda:7')","tensor([0., 0., 0.,  ..., 0., 0., 0.], grad_fn=<SumBackward1>)","tensor([[0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.]], grad_fn=<SumBackward1>)",1.149996280670166,856,-1.0365722179412842,6,1.154077410697937,"tensor([[ 42, 856]])",-1.0591890811920166,"tensor([[0, 6]])"
32,"tensor(2534, device='cuda:7')","tensor([ 0.0000e+00, -1.3002e-06,  0.0000e+00,  ...,  0.0000e+00,
         0.0000e+00,  0.0000e+00], grad_fn=<SumBackward1>)","tensor([[0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.]], grad_fn=<SumBackward1>)",0.7345942854881287,2656,-0.4648156762123108,1860,0.7348628640174866,"tensor([[  42, 2656]])",-0.4485306441783905,"tensor([[  27, 1860]])"
