,,rel_nodes_new,rel_edges_new,max_nodes_new,pos_max_nodes_new,min_nodes_new,pos_min_nodes_new,max_edges_new,pos_max_edges_new,min_edges_new,pos_min_edges_new
31,"tensor(2024, device='cuda:7')","tensor([0., 0., 0.,  ..., 0., 0., 0.], grad_fn=<SumBackward1>)","tensor([[0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.]], grad_fn=<SumBackward1>)",4.345674514770508,2172,-2.813741445541382,1257,1.5828896760940552,"tensor([[  44, 2172]])",-1.4673590660095215,"tensor([[  37, 1257]])"
2,"tensor(1432, device='cuda:7')","tensor([0., 0., 0.,  ..., 0., 0., 0.], grad_fn=<SumBackward1>)","tensor([[0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.]], grad_fn=<SumBackward1>)",2.2925939559936523,2172,-1.2753362655639648,1257,0.7899454832077026,"tensor([[  44, 2172]])",-0.6651185750961304,"tensor([[  37, 1257]])"
26,"tensor(913, device='cuda:7')","tensor([-3.4461e-07,  2.1653e-06, -4.2230e-07,  ...,  2.7256e-07,
        -4.5325e-08, -8.4529e-07], grad_fn=<SumBackward1>)","tensor([[-3.4461e-07, -4.2432e-07, -4.2230e-07,  ...,  2.7256e-07,
         -4.5325e-08, -8.4529e-07],
        [ 0.0000e+00,  0.0000e+00,  0.0000e+00,  ...,  0.0000e+00,
          0.0000e+00,  0.0000e+00],
        [ 0.0000e+00,  0.0000e+00,  0.0000e+00,  ...,  0.0000e+00,
          0.0000e+00,  0.0000e+00],
        ...,
        [ 0.0000e+00,  0.0000e+00,  0.0000e+00,  ...,  0.0000e+00,
          0.0000e+00,  0.0000e+00],
        [ 0.0000e+00,  0.0000e+00,  0.0000e+00,  ...,  0.0000e+00,
          0.0000e+00,  0.0000e+00],
        [ 0.0000e+00,  0.0000e+00,  0.0000e+00,  ...,  0.0000e+00,
          0.0000e+00,  0.0000e+00]], grad_fn=<SumBackward1>)",2.0609500408172607,2318,-0.9071651697158813,1743,0.895622193813324,"tensor([[  24, 2318]])",-0.5396583080291748,"tensor([[   7, 2128]])"
