,,rel_nodes_new,rel_edges_new,max_nodes_new,pos_max_nodes_new,min_nodes_new,pos_min_nodes_new,max_edges_new,pos_max_edges_new,min_edges_new,pos_min_edges_new
31,"tensor(366, device='cuda:7')","tensor([5.2538e-05, 0.0000e+00, 0.0000e+00,  ..., 0.0000e+00, 0.0000e+00,
        4.2502e-05], grad_fn=<SumBackward1>)","tensor([[0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.]], grad_fn=<SumBackward1>)",5.886567115783691,1735,-6.336605072021484,790,5.878046035766602,"tensor([[  48, 1735]])",-6.336605072021484,"tensor([[  0, 790]])"
2,"tensor(389, device='cuda:7')","tensor([4.7342e-05, 0.0000e+00, 0.0000e+00,  ..., 0.0000e+00, 0.0000e+00,
        3.8298e-05], grad_fn=<SumBackward1>)","tensor([[0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.]], grad_fn=<SumBackward1>)",1.5701085329055786,389,-2.3520121574401855,1621,0.9224337339401245,"tensor([[  2, 389]])",-2.3520121574401855,"tensor([[   0, 1621]])"
14,"tensor(2262, device='cuda:7')","tensor([ 1.4995e-05,  0.0000e+00, -1.6840e-02,  ...,  0.0000e+00,
         0.0000e+00,  1.2131e-05], grad_fn=<SumBackward1>)","tensor([[ 0.0000,  0.0000,  0.0000,  ...,  0.0000,  0.0000,  0.0000],
        [ 0.0000,  0.0000,  0.0000,  ...,  0.0000,  0.0000,  0.0000],
        [ 0.0000,  0.0000,  0.0000,  ...,  0.0000,  0.0000,  0.0000],
        ...,
        [ 0.0000,  0.0000,  0.0000,  ...,  0.0000,  0.0000,  0.0000],
        [ 0.0000,  0.0000,  0.0000,  ...,  0.0000,  0.0000,  0.0000],
        [ 0.0000,  0.0000, -0.0170,  ...,  0.0000,  0.0000,  0.0000]],
       grad_fn=<SumBackward1>)",0.3275221288204193,2625,-0.48992183804512024,431,0.3275221288204193,"tensor([[   0, 2625]])",-0.48992183804512024,"tensor([[ 31, 431]])"
