,0
0327021,Inez Gomez
0336138,Sid Grauman
0340614,Lita Grey
0336894,Ray Grey
0352509,William Hackett
1036540,Mildred Hall
1034056,James Hammer
1029958,Ben Hart
0366305,Gypsy Hart
1029989,R. Hausner
1035490,Tom Hawley
0371746,Helen Hayward
0380605,Jack Herrick
1030090,Jack Hoefer
0392429,George Holt
1036573,Josie Howard
0403156,Jean Huntley
1034084,Tom Hutchinson
0421368,Carl Jensen
1034096,Harry Jones
0439832,Fred Karno Jr.
1030429,Helen Kassler
0446213,Bob Kelly
1240430,John King
1035640,Freddie Lansit
0493771,Elias Lazaroff
1035657,George Lesley
0504108,Geraldine Leslie
1030974,Francis Lowell
0523096,Joan Lowell
0552077,Chris-Pin Martin
0552732,Margarita Martín
0562088,Neola May
0564149,Clyde McAtee
1034149,John McGrath
0573473,Lillian McMurray
1031289,Dolores Mendes
0589562,John Millerta
1031364,Ruth Milo
1034164,Ray Morris
0607369,Betty Morrissey
1031489,Marie Muggley
0614730,Steve Murphy
0615436,Florence Murth
1031526,Mr. Myers
1031553,P. Nagle
1035821,George Neely
1031691,Nellie Noxon
1035841,A.J. O'Connor
1031754,H.C. Oliver
0653645,Donnabelle Ouster
1031880,William Parmalee
1035897,Jack Phillips
0682288,Barbara Pierce
0682293,Betty Pierce
1034201,Art Price
1032241,Lillian Reschm
0723423,Frank Rice
0730116,C.F. Roark
1032296,E.M. Robb
0743013,Lillian Rosine
0746506,Edna Rowe
0761866,Tiny Sandford
1032779,J.J. Smith
1032781,Joe Smith
1032882,C.B. Steele
0830774,Frank Stockdale
0853014,Pop Taylor
1033207,Nina Trask
0872819,Armand Triller
1034289,John Tully
1033421,Jack Vedders
0905389,Bess Wade
0907538,Art Walker
0908713,John Wallace
1033588,Sharkey Weimar
0924390,White Cloud
0931272,Mary Williams
1036979,Marie Willis
0933351,Ed Wilson
0938366,H. Wolfinger
0940051,Tom Wood
0942322,Dave Wright
1033749,Ah Yot
0949565,George Young
1034322,Ed Zimmer
0004237,The Little Jewess
0524717,Edith Luckett
0009270,Kultur
1250355,Edward LeSaint
0121364,William Burress
0294019,Al Fremont
0012422,En lyckoriddare
0116307,John W. Brunius
0252472,Gösta Ekman
0425770,Mary Johnson
0727668,Axel Ringvall
0286909,Hilda Forsslund
0526398,Nils Lundell
0117313,Vilhelm Bryde
0147785,Gösta Cederlund
0445070,Carlo Keil-Möller
0622378,Arthur Natorp
0295412,Semmy Friedmann
0304997,Alva Garbo
0526275,Alfred Lundberg
0001256,Greta Garbo
0061661,Anna-Lisa Baude
0013780,The Woman He Married
0287581,Darrell Foss
0531691,Donald MacDonald
0206581,Shannon Day
0682311,Charlotte Pierce
0067634,Charles Belcher
0865814,Frank Tokunaga
0009834,A Woman of Impulse
0430968,Edward José
0146796,Lina Cavalieri
0732651,Gertrude Robinson
0089266,Raymond Bloomer
0128954,Robert Cain
0359715,Clarence Handyside
0116050,Mathilde Brundage
0882735,Corene Uzzell
0613623,Lucien Muratore
0052151,Estar Banks
0005041,A Butterfly on the Wheel
0869665,Maurice Tourneur
0553184,Vivian Martin
0718835,George Relph
0255827,June Elvidge
0013456,One Clear Call
0934780,Claire Windsor
0910400,Henry B. Walthall
0723658,Irene Rich
0324468,Stanley Goethals
0548009,William Marion
0235848,Joseph J. Dowling
0668084,Doris Pawn
0214517,Annette DeFoe
0447043,Fred Kelsey
0169088,Nick Cogley
1992831,Jeff Jenkins
0011401,The Life of the Party
0376221,Joseph Henabery
0000779,Roscoe 'Fatty' Arbuckle
0339408,Winifred Greenwood
0439850,Roscoe Karns
0269671,Julia Faye
0175384,Allen Connor
0823504,Fred Starr
0506953,Ben Lewis
0199748,Viora Daniel
0009931,Jean Acker
0101955,William Boyd
0514707,Lucien Littlefield
0012281,Hintertreppe
0422226,Leopold Jessner
0501902,Paul Leni
0691995,Henny Porten
0466776,Fritz Kortner
0226189,William Dieterle
2096855,Eugene Dieterle
0015503,The Wise Virgin
0408937,Lloyd Ingraham
0289127,Lucy Fox
0601596,Matt Moore
0059499,Léon Bary
0013500,The Pointing Finger
0725944,George Ridgwell
0743099,Milton Rosmer
0835779,Madge Stuart
0870348,Joseph R. Tozer
0038043,Teddy Arundell
0740252,Irene Rooke
0257632,James English
0923536,Norma Whalley
0572324,Gibb McLaughlin
0012340,Just Out of College
0681927,Jack Pickford
0540485,Molly Malone
0389043,Otto Hoffman
0822554,Maxfield Stanley
0283555,Maurice 'Lefty' Flynn
0086632,Loretta Blake
0006075,The Soul of Broadway
0839546,Valeska Suratt
0790137,William E. Shay
0020791,Mabel Allen
0088767,Sheridan Block
0585503,George W. Middleton
0497471,Jane Lee
0075337,Gertrude Berkeley
0009169,Her Price
0492742,Edmund Lawrence
0669410,Virginia Pearson
1485025,Edward J. Rosen
0840178,Victor Sutherland
0502889,Henry Leone
0552056,Charles Martin
0822792,Paul Stanton
0908053,Mrs. Allen Walker
0008290,The Midnight Man
0166730,Elmer Clifton
0483694,Warda Lamont
0933479,Hal Wilson
0383278,Wilbur Higby
0138278,Jack Carlyle
0005559,Jack Chanty
0276578,Max Figman
0731939,Lolita Robertson
0515248,Henry A. Livingston
0363288,Edwin Harley
0307519,F.H. Garland
0204584,Ethel Davis
0009555,The Road Through the Dark
0607864,Edmund Mortimer
0949403,Clara Kimball Young
0392442,Jack Holt
0940932,Henry Woodward
0265407,Elinor Fair
0175050,Bobby Connelly
0453799,Edward Kimball
0078806,Eugenie Besserer
0007901,The Eternal Temptress
0154352,Emile Chautard
0175901,Mildred Conselman
0002118,Alan Hale
0276132,Edward Fielding
0609243,Hallen Mostyn
0480814,James Laffey
0210191,Pierre De Matteis
0053686,Peter Barbierre
0004866,After Five
0002177,Oscar Apfel
0001124,Cecil B. DeMille
0008518,Edward Abeles
0769554,Betty Schade
0002034,Jane Darwell
0758457,Monroe Salisbury
0624735,James Neill
0431414,Ernest Joy
0611913,Jode Mullally
0016523,The White Desert
0054977,Reginald Barker
0641776,Pat O'Malley
0292537,Robert Frazer
0193005,Frank Currier
0262320,William Eugene
0436787,Sôjin Kamiyama
0094924,Priscilla Bonner
0250366,Snitz Edwards
0743704,Milton Ross
0079490,Matthew Betz
0241825,David Dunbar
0295688,Trixie Friganza
0819833,Bert Sprotte
0016506,The Wonderful Wooing
0539718,Geoffrey Malins
0401758,Marjorie Hume
0611692,G.H. Mulcaster
0930556,Eric Bransby Williams
0870121,Genevieve Townsend
0184426,Tom Coventry
0132351,Daisy Campbell
0010330,Emerald of Death
0003638,F.W. Murnau
0389364,Ernst Hofmann
0248203,Blandine Ebinger
0055439,Margit Barnay
0686783,Karl Platen
0313308,Georg John
0368117,Leonhard Haskel
0902069,Marie von Buelow
0459901,Rudolf Klix
1900729,Hedda Kemp
2815719,Hans Otterhausen
2329559,Helene Sauer
2815428,Hans Schaup
0016064,Madame Behave
0796657,Scott Sidney
0255774,Julian Eltinge
0672154,Ann Pennington
0069373,Lionel Belmore
0416402,David James
0240538,Jack Duffy
0290387,Evelyn Francisco
0016743,Corporal Kate
0806061,Paul Sloane
0721989,Vera Reynolds
0861034,Kenneth Thomson
0171136,Majel Coleman
0020568,Harry Allen
0855150,Walter Tennyson
0780844,Scott Seaton
0783763,Harry Semels
0009287,Less Than Kin
0187981,Donald Crisp
0717468,Wallace Reid
0644728,Charles Ogle
0190516,James Cruze
0141507,Calvert Carter
0378559,Jack Herbert
0015917,His Master's Voice
0389066,Renaud Hoffman
1299062,Thunder the Dog
0205890,Marjorie Daw
0070757,Brooks Benedict
1560251,White Fawn the Dog
1268263,Flash the Dog
0448477,Jack Kenny
0008878,The Beloved Traitor
0941782,William Worthington
0550615,Mae Marsh
0511100,E.K. Lincoln
0054830,Bradley Barker
0298857,James A. Furey
0342563,Louis R. Grisel
0606431,Chester Morris
0010459,Midnight Gambols
0570985,James C. McKay
0233945,Marie Doro
0853607,Godfrey Tearle
0515194,Sam Livesey
0422066,Mary Jerrold
0537943,Christine Maitland
0275530,Gladys Ffolliott
0066716,Gordon Begg
0010916,A Woman of Pleasure
0842239,Blanche Sweet
0643048,Wheeler Oakman
0524306,Wilfred Lucas
0010792,Too Many Crooks
0408433,Ralph Ince
0504109,Gladys Leslie
0656715,Jean Paige
0569756,Thomas J. McGrane
0219761,James Dent
0330265,Huntley Gordon
0157190,Cecil Chichester
0640762,George O'Donnell
0310948,James Gaylore
0015923,Hogan's Alley
0215877,Roy Del Ruth
0089524,Monte Blue
0203439,Max Davidson
0342657,Herbert Spencer Griswold
0353790,Frank Hagney
0057400,Nigel Barrie
0093931,Frank Bond
0391924,Leon Holmes
0009386,Molly Go Get 'Em
0279038,Margarita Fischer
0610268,Jack Mower
0166226,Hal Clements
0020798,Margaret Allen
0397229,David Howard
0460182,Emma Kluge
0090204,True Boardman
0003565,Where Is Coletti?
0432721,Hans Junkermann
0504373,Madge Lessing
0670271,Heinrich Peer
0618054,Anna Müller-Lincke
0830724,Hans Stock
0491134,Max Laurence
0106898,Axel Breidahl
0011332,The Inferior Sex
0365121,Mildred Harris
0017488,Mary Alden
0335864,Bertram Grassby
0057890,James O. Barrows
0593813,Yvette Mitchell
0012968,Bought and Paid For
0210352,William C. de Mille
0043969,Agnes Ayres
0383199,Walter Hiers
0943500,Leigh Wyant
0476659,George Kuwa
0290845,Bernice Frank
0011271,The Heart of a Woman
0695466,Jack Pratt
0724586,Jack Richardson
0279508,George Fisher
0104040,Francis Brainard
0005049,Camille
0135052,Albert Capellani
0135053,Paul Capellani
0177164,Lillian Cook
0191951,Robert Cummings
0048356,Dan Baker
0874123,Frederick Truesdell
0420237,William Jefferson
0239770,Louise Ducey
0605208,Beryl Morhange
0002106,Ruth Gordon
0004919,At Bay
0715427,Florence Reed
0792166,Frank Sheridan
0150389,Lyster Chambers
0907289,Charles Waldron
0845945,Richard Taber
0009223,In Judgment of...
0048478,George D. Baker
0018393,Edward Alexander
0636132,Harry Northrup
0341554,Katherine Griffith
0241867,Robert Dunbar
0009418,Nancy Comes Home
0511252,Myrtle Lind
0668927,George C. Pearce
0728255,Myrtle Rishell
0928348,J.P. Wild
0003731,Burning Daylight: The Adventures of 'Burning Daylight' in Alaska
0354282,Rhea Haines
0370746,J. Charles Haydon
0006860,The Innocent Lie
0646058,Sidney Olcott
0335687,Valentine Grant
0164030,J.J. Clark
0287854,J. Morris Foster
1206348,Hunter Arden
0512164,Helen Lindroth
0183866,William Courtleigh Jr.
0521310,Frank Losee
0011844,The Week-End
0185036,George L. Cox
0936380,Mary Wise
0447082,Mayme Kelso
0871271,Beverly Travers
0519559,Harry Lonsdale
0010094,Everybody's Girl
0394229,May Hopkins
0569747,Walter McGrail
0137416,William T. Carleton
0829886,Victor A. Stewart
0014015,The Eleventh Hour
0244244,Bernard J. Durning
0556953,Shirley Mason
0427659,Buck Jones
0012847,Why Trust Your Husband
0550892,George Marshall
0672907,Eileen Percy
0728019,Ray Ripley
0242349,Harry Dunkinson
0202633,Milla Davenport
0588544,Jane Miller
0532996,Hayward Mack
0874078,Bess True
0009447,One More American
0064819,George Beban
0320576,Mae Giraci
0248890,Helen Jerome Eddy
0139356,Horace B. Carpenter
0227919,Hector Dion
0658370,May Palmer
0125650,Pietro Buzzi
0781292,Edward Sedgwick
0008542,The Scarlet Crystal
0842521,Charles Swickard
0202590,Dorothy Davenport
0924300,Raymond Whitaker
0371981,Marie Hazelton
0425020,Edith Johnson
0241758,Nicholas Dunaew
0008167,The Lair of the Wolf
0237651,Donna Drew
0320681,Joseph W. Girard
0071667,Chester Bennett
0667024,Val Paul
0193798,Peggy Custer
0077320,George Berrell
0001285,The Life of Moses
0366742,Pat Hartigan
0037789,Julia Arthur
0007219,A Prince in a Pawnshop
0769144,Paul Scardon
0076149,Barney Bernard
0568944,Garry McGarry
0412324,Charlotte Ives
0402802,Edna Hunter
0789632,Brinsley Shaw
0076301,Lester Bernard
0016371,Some Pun'kins
0712776,Charles Ray
0860092,Duane Thompson
0585605,Fanny Midgley
0940437,Bert Woodruff
0177599,Hallam Cooley
0142215,William Courtright
0507275,Ida Lewis
0013876,Peggy Ahern
0012072,Courage
0291548,Sidney Franklin
0208659,Sam De Grasse
0579663,Adolphe Menjou
0926103,Lloyd Whitlock
0397556,Ray Howard
0393984,Gloria Hope
0011800,Two Weeks
0556919,Reginald Mason
0768283,Templar Saxe
0292756,William Frederic
0131745,Tom Cameron
0236355,Gertrude Doyle
0393975,Florence Hope
0860524,Mrs. Wensley Thompson
0009795,The Whirlpool
0189076,Alan Crosland
0103567,Alice Brady
0378555,Holmes Herbert
0319599,J.H. Gilmour
0203527,William B. Davidson
0177330,Warren Cook
0931893,W.E. Williams
0497791,Louise Lee
0498419,Virginia Lee
0346942,Mabel Guilford
0165048,Wallace Clarke
0885729,H. Van Beusen
0012745,La terre
0031134,André Antoine
0099694,Armand Bour
0018885,René Alexandre
0745583,Germaine Rouer
0381191,Jean Hervé
0100664,Berthe Bovy
0108964,Jeanne Briey
0344461,Jeanne Grumbach
0221290,Emile Desjardins
0153252,Max Charlier
0387045,René Hiéronimus
0637918,Armand Numès
0539020,Léon Malavier
0282972,Michel Floresco
0006596,The Dividend
0250445,Walter Edwards
0408436,Thomas H. Ince
0860849,William H. Thompson
0880494,Ethel Ullman
0860449,Margaret Thompson
0009565,Rose o' Paradise
0949648,James Young
0382730,Howard Hickman
0217569,William Delmar
0020109,Arthur Allardt
0010281,I Don't Want to Be a Man
0523932,Ernst Lubitsch
0652661,Ossi Oswalda
0324506,Curt Goetz
0797728,Ferry Sikla
0475470,Margarete Kupfer
0418131,Victor Janson
0008539,The Sawdust Ring
0588056,Charles Miller
0694260,Paul Powell
0522281,Bessie Love
0372187,Josephine Headley
0212737,Daisy Dean
0006443,Bobbie of the Ballet
0208657,Joseph De Grasse
0522593,Louise Lovely
0067588,Jay Belasco
0368875,Jean Hathaway
0358692,Gilmore Hammond
0913085,Lule Warrenton
0005460,Hearts in Exile
0002311,Montagu Love
0281635,Claude Fleming
0824693,Vernon Steele
0823309,Bert Starkey
0012288,The Hole in the Wall
0439221,Maxwell Karger
0286594,Allan Forrest
0212051,William De Vaull
0313941,Carl Gerard
0408429,John Ince
0238855,Claire Du Brey
0009816,Winner Takes All
0625424,Jack Nelson
0010237,The People of Hemso
0054011,Carl Barcklind
13807204,Maja Aréhn
0054012,Hilma Barcklind
0076644,Vilhelm Berndtson
0138156,Rune Carlsten
0143882,Mathilda Caspér
0147786,Ingeborg Cederlund
0358396,Torsten Hammarén
0361249,Einar Hanson
0424032,Oscar Johansson
0006241,War and Peace
0306723,Vladimir Gardin
0698839,Yakov Protazanov
2217394,Nikolay Gorich
0179028,Vera Karalli
0696049,Olga Preobrazhenskaya
0750294,Osip Runich
0012389,The Light in the Clearing
0403054,T. Hayes Hunter
0033440,Andrew Arbuckle
0607074,Arthur Morrison
0741800,Jack Roseleigh
0535018,Virginia Madison
0113742,J. Edwin Brown
0011609,The Pursuit of Pamela
0283327,Edna Flugrath
0613115,Douglas Munro
0658092,Ada Palmer
0347532,Wyndham Guise
0297332,Ma Fue
0016423,The Thoroughbred
0033446,Macklyn Arbuckle
0902226,Theodore von Eltz
0265551,Virginia Brown Faire
0214924,Carter DeHaven
0420232,Thomas Jefferson
0112898,Robert Brower
0008398,Out of the Wreck
0853336,William Desmond Taylor
0931031,Kathlyn Williams
0166692,William Clifford
0494615,Stella Razeto
0047237,Don Bailey
0017100,Made for Love
0431433,Leatrice Joy
0824330,Lincoln Stedman
0250240,Neely Edwards
0219660,Malcolm Denny
0014448,Cage of Death
0016697,Luciano Albertini
0078267,Albert-Francis Bertoni
0643138,Max Obal
0211048,Lya De Putti
0681620,Hermann Picha
0765447,Heinz Sarnow
0388893,Gertrude Hoffman
0011277,Helen of Four Gates
0136864,James Carew
0024706,Gerald Ames
0223160,George Dewhurst
0378548,Gwynne Herbert
0531228,John MacAndrews
0030276,James Annand
0012735,Suspicious Wives
0372872,Henry Hebert
0855979,Ethel Grey Terry
0478942,Rod La Rocque
0207709,Frank De Camp
0010928,You Never Saw Such a Girl
0897085,Robert G. Vignola
0178009,Edna Mae Cooper
0123623,John Burton
0018447,Gerard Alexander
0267650,Jim Farley
0016709,Carmen
0275494,Jacques Feyder
0577922,Raquel Meller
0503473,Fred Louis Lerch
0595321,Gaston Modot
0613576,Jean Murat
0898489,Victor Vina
1261846,Guerrero de Xandoval
0057620,Charles Barrois
0483896,Georges Lampin
0350244,Raymond Guérin-Catelain
0134564,Andrée Canti
0000320,Luis Buñuel
1260740,Pedro de Hidalgo
0239069,Arthur Duarte
3626988,Charles Morat
1261257,Joaquim Peindo
1261774,Hernando Vines
1332524,Roy Wood
0015423,The Torrent
0232448,William Doner
0950224,Andrew Percival Younger
0265490,William Fairbanks
0453059,Joseph Kilgour
1052305,Ashley Cooper
0571770,Robert McKim
0294058,Charles K. French
0011727,The Sporting Duchess
0856161,George Terwilliger
0549385,Percy Marmont
0132430,Edith Campbell
0660402,Lionel Pape
0326378,John Goldsworthy
0173799,Dan Comfort
0564219,May McAvoy
0013149,Robert Agnew
0877941,William H. Turner
0444640,Edward Keenan
0255408,C.T. Elmer
0009001,The Deciding Kiss
0472856,Lottie Kruse
0167760,Edmund Cobb
0012949,A Blind Bargain
0090207,Virginia True Boardman
0517574,Jacqueline Logan
0380647,Aggie Herring
0000891,Wallace Beery
0011369,The Monastery's Hunter
0652302,Franz Osten
0340088,Fritz Greiner
1576164,Thea Steinbrecher
1488840,Toni Wittels
0198165,Carl Dalmonico
0311812,Viktor Gehring
0775549,F.W. Schröder-Schrom
2784911,Hans Außfelder
1981206,Curt Gerdes
2081844,Hildegard Wall
2786863,Stuart Josef Lutz
0553808,Ferdinand Martini
1978687,Molly Albrecht
0014429,Safety Last!
0628345,Fred C. Newmeyer
0853130,Sam Taylor
0516001,Harold Lloyd
0205192,Mildred Davis
0835128,Bill Strother
0949927,Noah Young
0165051,Westcott Clarke
0112234,Roy Brooks
0200040,Mickey Daniels
0200068,Richard Daniels
0259545,Ray Erlenborn
0318981,William Gillespie
0319532,Helen Gilmore
0397907,Wally Howe
0445920,James T. Kelley
0490190,Billie Latimer
0502631,Gus Leonard
0525174,Sam Lufkin
0595907,Earl Mohan
0608893,Marie Mosquini
0828897,Charles Stevenson
0870083,Anna Townsend
4099090,Patrick Youch
0013444,Number 13
0000033,Alfred Hitchcock
0339504,Clare Greet
0857658,Ernest Thesiger
0013119,Fascination
0502752,Robert Z. Leonard
0615141,Mae Murray
0354878,Creighton Hale
0485274,Charles Lane
0280605,Emily Fitzroy
0171251,Vincent Coleman
0285202,Courtenay Foote
0912112,Helen Ware
0700084,Frank Puglia
0012640,Sacred and Profane Love
0272425,Elsie Ferguson
0105528,Raymond Blathwayt
0310844,Howard Gaye
0444274,Jane Keckley
0009858,The A.B.C. of Love
0337801,Dorothy Green
0232063,Arthur Donaldson
0569466,Frank McGlynn Sr.
0012891,The Altar Stairs
0562866,Frank Mayo
0521120,Louise Lorraine
0400751,Lawrence Hughes
0487007,J. Jiquel Lanoe
0860216,Hugh Thompson
0000472,Boris Karloff
0324158,Dagmar Godowsky
0012844,White and Unmarried
0089162,Frederick Vroom
0804285,Marian Skinner
0831891,Georgie Stone
0949835,Loretta Young
0005329,The Flame of Passion
0855909,Ellaline Terriss
0208116,Rienzi De Cordova
0360092,Marguerite Hanley
0376079,Alfred Hemming
0558438,Charles Mather
0382772,Lida Hickok
0506845,William Lewin
0007759,The Burglar
0461295,Harley Knoles
0085877,Carlyle Blackwell
0263004,Madge Evans
0337556,Evelyn Greeley
0483659,Harry Lamont
0194020,Justine Cutting
0377143,Rosina Henley
0238532,Jack Drumier
0237407,Henry Drehle
0009374,Milady o' the Beanstalk
0078340,William Bertram
0651704,Marie Osborne
0175286,Jack Connolly
0121097,Ellen Burford
0425409,Ernest Morrison
0013675,Through a Glass Window
0132720,Maurice Campbell
0359085,Burwell Hamrick
0911433,Carrie Clark Ward
0011698,Sinners
0916177,Kenneth S. Webb
0263487,Agnes Everett
0026387,Augusta Anderson
0296535,Lorraine Frost
0715619,Nora Reed
0186362,James Crane
0448696,Crauford Kent
0769477,Robert Schable
0012545,Pan Twardowski
0081331,Wiktor Bieganski
0649345,Bronislaw Oranowski
0419007,Wanda Jarszewska
2544971,Antoni Nowara-Piekarski
2552576,Maria Krzyzanowska
2455634,Mila Kaminska
2547913,Antoni Siemaszko
0333293,Wladyslaw Grabowski
0117383,Stanislaw Brylinski
2544123,Pawel Dydek-Dudzinski
0501756,Wladyslaw Lenczewski
2548067,Stanislawa Uminska
2456003,Bruno Winawer
2548324,Zofia Zukowska
0014568,Under the Red Robe
0544071,Robert B. Mantell
0859060,John Charles Thomas
0747884,Alma Rubens
0472603,Otto Kruger
0533705,Ian Maclaren
0358914,Genevieve Hamper
0169078,Rose Coghlan
0378625,Sidney Herbert
0396768,Arthur Housman
0659947,Paul Panzer
0431882,Charles Judels
0621723,George Nash
1181317,Evelyn Gosnell
0223110,Arthur Dewey
0226961,Andrew Dillon
0222407,Frank DeVernon
0234978,Byron Douglas
0016491,Mother
0286120,Jean Forest
0396957,Pierrette Houyez
0547329,Jeanne Marie-Laurent
0222694,Rachel Devirys
0245026,Henri Duval
0678971,Arlette Peyran
0894722,Suzy Vernon
2118888,F. Greffin
2122592,P. Lecoq
0691692,Arthur Porchet
0015178,No More Women
0068705,Madge Bellamy
0166651,Kathleen Clifford
0123548,Clarence Burton
0178049,George Cooper
0716318,H. Reeves-Smith
1248092,Don the Dog
0014368,Poor Men's Wives
0309163,Louis J. Gasnier
0478704,Barbara La Marr
0290377,Betty Francisco
0566411,Muriel McCormac
0006587,The Devil's Bondwoman
0606887,Richard Morris
0268422,Adele Farrington
0133944,William Canfield
0790977,Miriam Shelby
0398446,Arthur Hoyt
0358653,C. Norman Hammond
0007523,The Vital Question
0237710,S. Rankin Drew
0216311,Leo Delaney
0492771,George Lawrence
0006897,The King's Game
0587929,Ashley Miller
0698219,George Probert
0925310,Pearl White
0507752,Sheldon Lewis
0601688,Nora Moore
0662950,George Parks
0014915,Flowing Gold
0129896,Alice Calhoun
0280201,Cissy Fitzgerald
0783041,Charles Sellon
0012368,Lady Hamilton
0652650,Richard Oswald
0354029,Liane Haid
0891998,Conrad Veidt
0470328,Werner Krauss
0778306,Reinhold Schünzel
0374267,Else Heims
0688480,Anton Pointner
0784913,Julia Serda
0018437,Georg Alexander
0082178,Paul Bildt
0519765,Theodor Loos
0903145,Hans Heinrich von Twardowski
0919684,Gertrude Welcker
0762277,Adele Sandrock
0652639,Kathe Oswald
0211121,Celly de Rheydt
0246842,Hugo Döblin
0313447,Heinrich George
0478151,Friedrich Kühne
0707778,Louis Ralph
0345094,Ilka Grüning
0472109,Claire Krona
0010494,Max Adalbert
0836755,Hans Stürm
0432630,Rudolf Meinhard-Jünger
0313828,Carl Geppert
0458635,Adolf Klein
0753952,Karl Römer
0687223,Clementine Plessner
0006812,His Wife's Good Name
0829615,Lucille Lee Stewart
0588604,Jessie Miller
0731910,John S. Robertson
0529318,Wilfred Lytell
0013879,Boman på utställningen
0011860,Harald Adelsohn
0011907,Elsa Adenius
0027851,Wiktor Andersson
0084968,Gösta Björkman
0092088,Rudolf Bohman
0147763,Torre Cederborg
0252318,Valdemar Ekegård
0278997,Josef Fischer
0307151,Karin Gardtman
0353763,Carl Hagman
0458025,Ann-Marie Kjellgren
0526224,Nils Vilhelm Lund
0679585,Frans Pfunkenhofer
0833317,Ingeborg Strandin
0008309,A Modern Musketeer
0245385,Allan Dwan
0001196,Douglas Fairbanks
0650263,Eugene Ormonde
0556769,Jim Mason
0828314,Charles Stevens
0012689,Queen of the Turf
0920279,John Wells
0894632,Agnes Vernon
0533573,Robert MacKinnon
0181837,John Cosgrove
0269083,John Faulkner
0649505,Tal Ordell
0425081,Evelyn Johnson
0492980,Raymond Lawrence
0361992,Gerald Harcourt
1025998,Tommy Denman
1024611,Kennaquhair
0011588,Pollyanna
0417017,Wharton James
0357083,Howard Ralston
0183869,William Courtleigh
0697944,Herbert Prior
0186336,Doc Crane
0550583,Joan Marsh
0676435,Frederick Peters
0003999,För sin kärleks skull
0830249,Mauritz Stiller
0018814,Karin Alexandersson
0064949,Lili Beck
0251622,Egil Eide
0414887,Lilly Jacobson
0526234,Richard Lund
0015617,The Best Bad Man
0090007,John G. Blystone
0001966,Clara Bow
0149477,Cyril Chadwick
0454920,Judy King
0306853,Buster Gardner
0063612,Frank Beal
0011522,Nurse Marjorie
0591704,Mary Miles Minter
0277238,Clyde Fillmore
0673814,George Periolat
0507849,Vera Lewis
0497279,Frankie Lee
1778371,Al Flosso
0614367,Joe Murphy
0006641,The Evil Women Do
0432216,Rupert Julian
0082537,Francelia Billington
0314700,Douglas Gerrard
0516900,Tom Lockhart
0213049,Sydney Deane
0013960,Crossed Wires
0007215,King Baggot
0910518,Gladys Walton
0829397,George Stewart
0187992,Marie Crisp
0626335,Eloise Nesbit
0556815,Lewis Mason
0013170,The Ghost Breaker
0531759,J. Farrell MacDonald
0713259,Frances Raymond
0035159,Richard Arlen
1058188,Peter Dear
0503777,Mervyn LeRoy
0004972,The Birth of a Nation
0178270,Miriam Cooper
0507635,Ralph Lewis
0797094,George Siegmann
0497501,Jennie Lee
0082459,Bennie Billings
0103955,Harry Braham
0122590,Bob Burns
0122655,Edward Burns
0122668,Fred Burns
0142195,Peggy Cartwright
0144255,William E. Cassidy
0167144,Dark Cloud
0178212,Lenore Cooper
1189210,Charles Eagle Eye
0000406,John Ford
0291341,Alberta Franklin
0293622,William Freeman
0332998,Gibson Gowland
0340651,Olga Grey
0357590,Fred Hamer
0382954,Russell Hicks
0404158,Walter Huston
0550506,Betty Marsh
0600273,Donna Montran
0657874,Eugene Pallette
0670409,Vester Pegg
10901226,Hayes E. Robertson
0780739,Allan Sears
0837801,Madame Sul-Te-Wan
0909825,Raoul Walsh
0925028,Jules White
0929200,Violet Wilkey
0943983,Mary Wynn
0010427,A Man of Honor
0051140,Fred J. Balshofer
0264286,Bessie Eyton
0373008,Stanton Heck
0569985,Gordon McGregor
0010642,Rose of the West
0587754,Harry F. Millarde
0871337,Madlaine Traverse
0478850,Beatrice La Plante
0222367,Minnie Devereaux
0208087,Syn De Conde
0015152,Gypsy Chatter
0882795,Valentin Vaala
0876343,Teuvo Tulio
0352586,Meri Hackzell
0846833,Hanna Taini
0726958,Alli Riks
0491540,Bruno Laurén
0937436,Waldemar Wohlin
10246489,Aarne Bollström
10246490,Ester Hagert
3638732,Hemmi Hagert
10246488,Aarne Isberg
3635128,Manta Nyman
3635166,Tekla Nyman
0756524,Walle Saikko
0004199,The Borrowed Babies
0002031,Michael Curtiz
0407322,Aladár Ihász
0075410,Lili Berky
2419394,Kató Berky
1090737,Alajos Mészáros
7916267,Elza Báthory
0800269,Marcsa Simon
1097962,Hugó Kozma
0075509,József Berky
1258059,Mátyás Némedy
7917723,Bertalan Pálfy
1094006,Gyula Nagy
4090029,Ilonka Nagy
0014109,The Saga of Gösta Berling
0361319,Lars Hanson
0774563,Sven Scholander
0147803,Ellen Hartman-Cederström
0617527,Mona Mårtenson
0526410,Gerda Lundequist
0368439,Jenny Hasselqvist
0540250,Sixten Malmerfeldt
0126479,Oscar Byström
0753969,Hugo Rönnblad
0483218,Knut Lambert
0466415,Svend Kornbeck
0253360,Otto Elg-Lundberg
2770240,Svea Palm
0074767,Erik Bergman
0117925,A.T.H. Buch
0144559,Hilda Castegren
0147761,Gucken Cederborg
0210317,Jan de Meyere
0212091,Anton De Verdier
0222015,Carl Deurell
0250869,Lars Egge
0251287,Bertil Ehrenmark
0258215,Signe Enwall
0259139,Carl Ericson
0273157,Georg Fernqvist
0280759,Emil Fjellström
0345071,Mia Gründer
0348978,Gösta Gustafson
