,,rel_nodes_new,rel_edges_new,max_nodes_new,pos_max_nodes_new,min_nodes_new,pos_min_nodes_new,max_edges_new,pos_max_edges_new,min_edges_new,pos_min_edges_new
22,"tensor(2030, device='cuda:7')","tensor([0.0000e+00, 0.0000e+00, 0.0000e+00,  ..., 0.0000e+00, 3.2262e-07,
        0.0000e+00])","tensor([[ 0.0000e+00,  0.0000e+00,  0.0000e+00,  ...,  0.0000e+00,
         -2.3653e-07,  0.0000e+00],
        [ 0.0000e+00,  0.0000e+00,  0.0000e+00,  ...,  0.0000e+00,
          1.9231e-07,  0.0000e+00],
        [ 0.0000e+00,  0.0000e+00,  0.0000e+00,  ...,  0.0000e+00,
          2.7030e-08,  0.0000e+00],
        ...,
        [ 0.0000e+00,  0.0000e+00,  0.0000e+00,  ...,  0.0000e+00,
          1.9151e-07,  0.0000e+00],
        [ 0.0000e+00,  0.0000e+00,  0.0000e+00,  ...,  0.0000e+00,
          7.2047e-08,  0.0000e+00],
        [ 0.0000e+00,  0.0000e+00,  0.0000e+00,  ...,  0.0000e+00,
          2.8280e-08,  0.0000e+00]])",12.116058349609375,2113,-13.741415023803711,2653,283.724609375,"tensor([[   3, 2113]])",-305.3329162597656,"tensor([[  12, 2113]])"
17,"tensor(2486, device='cuda:7')","tensor([0.0000e+00, 0.0000e+00, 3.8014e-06,  ..., 0.0000e+00, 0.0000e+00,
        0.0000e+00])","tensor([[ 0.0000e+00,  0.0000e+00,  1.5323e-05,  ...,  0.0000e+00,
          0.0000e+00,  0.0000e+00],
        [ 0.0000e+00,  0.0000e+00, -6.4233e-05,  ...,  0.0000e+00,
          0.0000e+00,  0.0000e+00],
        [ 0.0000e+00,  0.0000e+00,  3.4266e-06,  ...,  0.0000e+00,
          0.0000e+00,  0.0000e+00],
        ...,
        [ 0.0000e+00,  0.0000e+00, -2.1300e-05,  ...,  0.0000e+00,
          0.0000e+00,  0.0000e+00],
        [ 0.0000e+00,  0.0000e+00, -2.2320e-06,  ...,  0.0000e+00,
          0.0000e+00,  0.0000e+00],
        [ 0.0000e+00,  0.0000e+00, -9.6956e-07,  ...,  0.0000e+00,
          0.0000e+00,  0.0000e+00]])",16.86260986328125,2486,-15.271866798400879,1485,310.6293640136719,"tensor([[   3, 2486]])",-336.85662841796875,"tensor([[   0, 2486]])"
21,"tensor(2498, device='cuda:7')","tensor([0., 0., 0.,  ..., 0., 0., 0.])","tensor([[0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.]])",225.30711364746094,2498,-214.6480712890625,1485,912.5933227539062,"tensor([[   0, 2498]])",-399.98175048828125,"tensor([[   1, 1485]])"
