,,rel_nodes_new,rel_edges_new,max_nodes_new,pos_max_nodes_new,min_nodes_new,pos_min_nodes_new,max_edges_new,pos_max_edges_new,min_edges_new,pos_min_edges_new
25,"tensor(1165, device='cuda:7')","tensor([-1.5762e-06,  0.0000e+00,  0.0000e+00,  ...,  0.0000e+00,
         0.0000e+00,  9.5966e-07], grad_fn=<SumBackward1>)","tensor([[0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.]], grad_fn=<SumBackward1>)",1.8646968603134155,1165,-3.151826858520508,844,1.6599721908569336,"tensor([[ 48, 487]])",-3.151826858520508,"tensor([[  1, 844]])"
9,"tensor(264, device='cuda:7')","tensor([-1.5208e-06,  0.0000e+00,  0.0000e+00,  ...,  0.0000e+00,
         0.0000e+00,  9.2595e-07], grad_fn=<SumBackward1>)","tensor([[0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.]], grad_fn=<SumBackward1>)",0.5796485543251038,1624,-0.016123628243803978,40,0.5073681473731995,"tensor([[   1, 1624]])",-0.01606692001223564,"tensor([[16, 40]])"
4,"tensor(2229, device='cuda:7')","tensor([-1.5209e-06,  0.0000e+00,  0.0000e+00,  ...,  0.0000e+00,
         0.0000e+00,  9.2599e-07], grad_fn=<SumBackward1>)","tensor([[0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.]], grad_fn=<SumBackward1>)",0.5556914210319519,1624,-0.00022203776461537927,2189,0.4834079444408417,"tensor([[   1, 1624]])",-0.00022203776461537927,"tensor([[  41, 2189]])"
