,,rel_nodes_new,rel_edges_new,max_nodes_new,pos_max_nodes_new,min_nodes_new,pos_min_nodes_new,max_edges_new,pos_max_edges_new,min_edges_new,pos_min_edges_new
34,"tensor(44, device='cuda:7')","tensor([2.0944e-06, 0.0000e+00, 9.3638e-07,  ..., 2.3315e-06, 1.2675e-06,
        0.0000e+00], grad_fn=<SumBackward1>)","tensor([[0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.]], grad_fn=<SumBackward1>)",1.9668470621109009,1356,-1.7985361814498901,660,1.8164293766021729,"tensor([[   1, 1356]])",-1.5481913089752197,"tensor([[ 30, 660]])"
25,"tensor(1701, device='cuda:7')","tensor([2.0991e-06, 0.0000e+00, 9.4053e-07,  ..., 2.3404e-06, 1.2586e-06,
        0.0000e+00], grad_fn=<SumBackward1>)","tensor([[0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.]], grad_fn=<SumBackward1>)",1.5147596597671509,1610,-4.072237968444824,660,1.5147596597671509,"tensor([[   1, 1610]])",-3.885319709777832,"tensor([[ 30, 660]])"
32,"tensor(510, device='cuda:7')","tensor([2.2187e-06, 0.0000e+00, 9.9464e-07,  ..., 2.4750e-06, 1.3312e-06,
        0.0000e+00], grad_fn=<SumBackward1>)","tensor([[0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.]], grad_fn=<SumBackward1>)",1.4084761142730713,1356,-0.7196729183197021,952,1.249150276184082,"tensor([[   1, 1356]])",-1.5965458154678345,"tensor([[ 30, 952]])"
