,,rel_nodes_new,rel_edges_new,max_nodes_new,pos_max_nodes_new,min_nodes_new,pos_min_nodes_new,max_edges_new,pos_max_edges_new,min_edges_new,pos_min_edges_new
30,"tensor(11213, device='cuda:7')","tensor([ 0.0000, -0.0027,  0.0000,  ...,  0.0000,  0.0000,  0.0000],
       grad_fn=<SumBackward1>)","tensor([[ 0.0000,  0.0000,  0.0000,  ...,  0.0000,  0.0000,  0.0000],
        [ 0.0000, -0.0014,  0.0000,  ...,  0.0000,  0.0000,  0.0000],
        [ 0.0000, -0.0004,  0.0000,  ...,  0.0000,  0.0000,  0.0000],
        ...,
        [ 0.0000,  0.0000,  0.0000,  ...,  0.0000,  0.0000,  0.0000],
        [ 0.0000,  0.0000,  0.0000,  ...,  0.0000,  0.0000,  0.0000],
        [ 0.0000, -0.0009,  0.0000,  ...,  0.0000,  0.0000,  0.0000]],
       grad_fn=<SumBackward1>)",0.4477357268333435,11213,-0.16071680188179016,19818,0.22479572892189026,"tensor([[   13, 11213]])",-0.16071680188179016,"tensor([[    0, 19818]])"
26,"tensor(3410, device='cuda:7')","tensor([0., 0., 0.,  ..., 0., 0., 0.], grad_fn=<SumBackward1>)","tensor([[0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.]], grad_fn=<SumBackward1>)",0.5494797229766846,3410,-0.29113733768463135,8872,0.4765711724758148,"tensor([[   0, 3216]])",-0.29113733768463135,"tensor([[   0, 8872]])"
42,"tensor(2579, device='cuda:7')","tensor([0., 0., 0.,  ..., 0., 0., 0.], grad_fn=<SumBackward1>)","tensor([[0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.]], grad_fn=<SumBackward1>)",4.7111029624938965,16687,-3.5658998489379883,8872,4.710709095001221,"tensor([[   18, 16687]])",-3.5658998489379883,"tensor([[   0, 8872]])"
