,,rel_nodes_new,rel_edges_new,max_nodes_new,pos_max_nodes_new,min_nodes_new,pos_min_nodes_new,max_edges_new,pos_max_edges_new,min_edges_new,pos_min_edges_new
30,"tensor(11213, device='cuda:7')","tensor([ 0.0000, -0.0027,  0.0000,  ...,  0.0000,  0.0000,  0.0000],
       grad_fn=<SumBackward1>)","tensor([[ 0.0000,  0.0000,  0.0000,  ...,  0.0000,  0.0000,  0.0000],
        [ 0.0000, -0.0014,  0.0000,  ...,  0.0000,  0.0000,  0.0000],
        [ 0.0000, -0.0003,  0.0000,  ...,  0.0000,  0.0000,  0.0000],
        ...,
        [ 0.0000,  0.0000,  0.0000,  ...,  0.0000,  0.0000,  0.0000],
        [ 0.0000,  0.0000,  0.0000,  ...,  0.0000,  0.0000,  0.0000],
        [ 0.0000, -0.0009,  0.0000,  ...,  0.0000,  0.0000,  0.0000]],
       grad_fn=<SumBackward1>)",52.49517822265625,18281,-34.640289306640625,15328,52.49517822265625,"tensor([[    0, 18281]])",-34.64134979248047,"tensor([[   18, 15328]])"
26,"tensor(3410, device='cuda:7')","tensor([0., 0., 0.,  ..., 0., 0., 0.], grad_fn=<SumBackward1>)","tensor([[0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.]], grad_fn=<SumBackward1>)",6.138940334320068,3410,-5.508105754852295,15665,5.733780384063721,"tensor([[  18, 3410]])",-5.507534503936768,"tensor([[    0, 15665]])"
42,"tensor(2579, device='cuda:7')","tensor([0., 0., 0.,  ..., 0., 0., 0.], grad_fn=<SumBackward1>)","tensor([[0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.]], grad_fn=<SumBackward1>)",4.7111029624938965,16687,-3.5658998489379883,8872,4.710709095001221,"tensor([[   18, 16687]])",-3.5658998489379883,"tensor([[   0, 8872]])"
