,,rel_nodes_new,rel_edges_new,max_nodes_new,pos_max_nodes_new,min_nodes_new,pos_min_nodes_new,max_edges_new,pos_max_edges_new,min_edges_new,pos_min_edges_new
28,"tensor(2500, device='cuda:7')","tensor([0., 0., 0.,  ..., 0., 0., 0.])","tensor([[0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.]])",0.4266703128814697,1300,-0.07678323984146118,633,6.965673446655273,"tensor([[   1, 2500]])",-7.818941593170166,"tensor([[   0, 2500]])"
11,"tensor(83, device='cuda:7')","tensor([0., 0., 0.,  ..., 0., 0., 0.])","tensor([[0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.]])",2.9968454837799072,1893,-2.5225448608398438,2393,55.83818054199219,"tensor([[  13, 2393]])",-65.08332061767578,"tensor([[  14, 2393]])"
33,"tensor(1758, device='cuda:7')","tensor([0.0000, 0.0000, 0.0366,  ..., 0.0000, 0.0000, 0.0000])","tensor([[ 0.0000,  0.0000, -0.2474,  ...,  0.0000,  0.0000,  0.0000],
        [ 0.0000,  0.0000, -1.6926,  ...,  0.0000,  0.0000,  0.0000],
        [ 0.0000,  0.0000,  0.9734,  ...,  0.0000,  0.0000,  0.0000],
        ...,
        [ 0.0000,  0.0000,  0.6022,  ...,  0.0000,  0.0000,  0.0000],
        [ 0.0000,  0.0000, -0.1356,  ...,  0.0000,  0.0000,  0.0000],
        [ 0.0000,  0.0000,  0.0148,  ...,  0.0000,  0.0000,  0.0000]])",0.5887603759765625,1758,-0.19960536062717438,1838,57.418548583984375,"tensor([[   5, 1758]])",-92.12881469726562,"tensor([[  14, 1758]])"
