,,tensor_edges,max_edges,pos_max_edges,min_edges,pos_min_edges
13,"tensor(1502, device='cuda:7')","tensor(indices=tensor([[   0,    0,    0,  ...,   23,   23,   23],
                       [  10,   20,   36,  ..., 2830, 2831, 2832]]),
       values=tensor([ 1.1129e-06,  1.7169e-05,  9.2300e-05,  ...,
                      -1.0472e-04, -1.4721e-05, -6.1488e-05]),
       size=(24, 2835), nnz=4824, layout=torch.sparse_coo)",0.6921581029891968,"tensor([[ 0, 74]])",-0.8083122968673706,"tensor([[  11, 1502]])"
14,"tensor(1279, device='cuda:7')","tensor(indices=tensor([[   0,    0,    0,  ...,   23,   23,   23],
                       [  10,   20,   36,  ..., 2830, 2831, 2832]]),
       values=tensor([ 1.7822e+01,  8.5721e-06,  7.5037e-05,  ...,
                      -9.0901e-05, -1.2876e-05,  1.9829e+00]),
       size=(24, 2835), nnz=5208, layout=torch.sparse_coo)",49.49717712402344,"tensor([[  0, 993]])",-36.637855529785156,"tensor([[  6, 993]])"
15,"tensor(2725, device='cuda:7')","tensor(indices=tensor([[   0,    0,    0,  ...,   23,   23,   23],
                       [  10,   20,   36,  ..., 2830, 2831, 2832]]),
       values=tensor([ 1.1129e-06,  1.7169e-05,  9.2300e-05,  ...,
                      -1.0472e-04, -1.4721e-05, -6.1488e-05]),
       size=(24, 2835), nnz=4824, layout=torch.sparse_coo)",1.6040403842926025,"tensor([[  15, 2725]])",-1.1203070878982544,"tensor([[  18, 2725]])"
16,"tensor(605, device='cuda:7')","tensor(indices=tensor([[   0,    0,    0,  ...,   23,   23,   23],
                       [   0,    2,    3,  ..., 2826, 2829, 2831]]),
       values=tensor([ 7.8846e-08,  6.1062e-08,  4.3197e-08,  ...,
                      -2.7076e-09, -1.3703e-07, -2.2438e-08]),
       size=(24, 2835), nnz=23400, layout=torch.sparse_coo)",47.75217056274414,"tensor([[ 9, 98]])",-54.911556243896484,"tensor([[18, 98]])"
17,"tensor(2709, device='cuda:7')","tensor(indices=tensor([[   0,    0,    0,  ...,   23,   23,   23],
                       [  27,   28,   37,  ..., 2821, 2827, 2828]]),
       values=tensor([1.6702e-05, 3.0473e-06, 3.1744e+00,  ...,
                      1.4624e+00, 1.7324e-05, 4.1546e-07]),
       size=(24, 2835), nnz=4320, layout=torch.sparse_coo)",186.8773193359375,"tensor([[   0, 1517]])",-281.6991271972656,"tensor([[  11, 1517]])"
18,"tensor(25, device='cuda:7')","tensor(indices=tensor([[   0,    0,    0,  ...,   23,   23,   23],
                       [  25,   41,   71,  ..., 2673, 2718, 2750]]),
       values=tensor([ 5.0527e-01,  2.9893e-03, -6.2791e-06,  ...,
                       1.8423e-06,  9.6749e-08,  9.1487e-06]),
       size=(24, 2835), nnz=1584, layout=torch.sparse_coo)",66.53368377685547,"tensor([[   4, 1845]])",-31.851680755615234,"tensor([[  15, 1845]])"
19,"tensor(2575, device='cuda:7')","tensor(indices=tensor([[   0,    0,    0,  ...,   23,   23,   23],
                       [   0,    2,    3,  ..., 2826, 2829, 2831]]),
       values=tensor([-7.6741e-09,  2.3539e-08,  2.6079e-08,  ...,
                       4.4718e-09, -1.9488e-07, -1.3564e-08]),
       size=(24, 2835), nnz=23568, layout=torch.sparse_coo)",75.351318359375,"tensor([[ 18, 456]])",-61.20320129394531,"tensor([[   9, 2426]])"
20,"tensor(1112, device='cuda:7')","tensor(indices=tensor([[   0,    0,    0,  ...,   23,   23,   23],
                       [   0,    2,    3,  ..., 2826, 2829, 2831]]),
       values=tensor([-5.2648e-07, -4.0313e-07, -2.3603e-07,  ...,
                       4.5622e-08,  8.1183e-07,  1.2451e-07]),
       size=(24, 2835), nnz=22656, layout=torch.sparse_coo)",49.17109680175781,"tensor([[ 18, 378]])",-81.51564025878906,"tensor([[  6, 378]])"
21,"tensor(1414, device='cuda:7')","tensor(indices=tensor([[   0,    0,    0,  ...,   23,   23,   23],
                       [  10,   20,   36,  ..., 2830, 2831, 2832]]),
       values=tensor([ 4.4195e-06, -6.4630e-07,  3.3926e-05,  ...,
                      -4.5158e-05, -6.7883e-06, -2.1672e-05]),
       size=(24, 2835), nnz=5256, layout=torch.sparse_coo)",71.9553451538086,"tensor([[ 11, 650]])",-99.4609375,"tensor([[  0, 650]])"
22,"tensor(1182, device='cuda:7')","tensor(indices=tensor([[   0,    0,    0,  ...,   23,   23,   23],
                       [   0,    2,    3,  ..., 2826, 2829, 2831]]),
       values=tensor([ 7.8817e-03,  2.5860e-08,  3.2293e-08,  ...,
                      -1.7859e-02, -2.3307e-07, -1.4616e-08]),
       size=(24, 2835), nnz=24168, layout=torch.sparse_coo)",13.28104305267334,"tensor([[   0, 1661]])",-17.45933723449707,"tensor([[  0, 101]])"
