,,rel_nodes_new,rel_edges_new,max_nodes_new,pos_max_nodes_new,min_nodes_new,pos_min_nodes_new,max_edges_new,pos_max_edges_new,min_edges_new,pos_min_edges_new
35,"tensor(41, device='cuda:7')","tensor([0., 0., 0.,  ..., 0., 0., 0.])","tensor([[0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.]])",17.91153907775879,1757,-15.916587829589844,1392,231.95782470703125,"tensor([[  18, 1392]])",-241.3880615234375,"tensor([[   6, 1392]])"
32,"tensor(212, device='cuda:7')","tensor([0., 0., 0.,  ..., 0., 0., 0.])","tensor([[0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.]])",36.1292724609375,212,-46.821868896484375,498,3612.43310546875,"tensor([[   4, 1845]])",-3645.15966796875,"tensor([[ 18, 498]])"
21,"tensor(1414, device='cuda:7')","tensor([0.0000e+00, 0.0000e+00, 0.0000e+00,  ..., 1.6899e-06, 0.0000e+00,
        0.0000e+00])","tensor([[ 0.0000e+00,  0.0000e+00,  0.0000e+00,  ..., -1.3203e-04,
          0.0000e+00,  0.0000e+00],
        [ 0.0000e+00,  0.0000e+00,  0.0000e+00,  ...,  9.0923e-05,
          0.0000e+00,  0.0000e+00],
        [ 0.0000e+00,  0.0000e+00,  0.0000e+00,  ..., -2.0077e-05,
          0.0000e+00,  0.0000e+00],
        ...,
        [ 0.0000e+00,  0.0000e+00,  0.0000e+00,  ...,  2.9596e-05,
          0.0000e+00,  0.0000e+00],
        [ 0.0000e+00,  0.0000e+00,  0.0000e+00,  ..., -1.1395e-05,
          0.0000e+00,  0.0000e+00],
        [ 0.0000e+00,  0.0000e+00,  0.0000e+00,  ..., -2.1672e-05,
          0.0000e+00,  0.0000e+00]])",16.54166030883789,1444,-18.563169479370117,1414,71.9553451538086,"tensor([[ 11, 650]])",-99.4609375,"tensor([[  0, 650]])"
