,,rel_nodes_new,rel_edges_new,max_nodes_new,pos_max_nodes_new,min_nodes_new,pos_min_nodes_new,max_edges_new,pos_max_edges_new,min_edges_new,pos_min_edges_new
32,"tensor(212, device='cuda:7')","tensor([0., 0., 0.,  ..., 0., 0., 0.])","tensor([[0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.]])",36.1292724609375,212,-46.821868896484375,498,3612.43310546875,"tensor([[   4, 1845]])",-3645.15966796875,"tensor([[ 18, 498]])"
34,"tensor(2490, device='cuda:7')","tensor([0., 0., 0.,  ..., 0., 0., 0.])","tensor([[0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.]])",3.6860971450805664,2282,-1.4897651672363281,1826,455.70611572265625,"tensor([[  15, 1826]])",-662.91552734375,"tensor([[  18, 1826]])"
31,"tensor(1543, device='cuda:7')","tensor([ 0.0000,  0.0000,  0.7047,  ...,  0.0000,  0.0000, -0.1122])","tensor([[ 0.0000,  0.0000,  0.1898,  ...,  0.0000,  0.0000, -0.1532],
        [ 0.0000,  0.0000, -0.1957,  ...,  0.0000,  0.0000,  0.1563],
        [ 0.0000,  0.0000,  1.7662,  ...,  0.0000,  0.0000,  0.0204],
        ...,
        [ 0.0000,  0.0000,  1.2714,  ...,  0.0000,  0.0000, -0.0047],
        [ 0.0000,  0.0000, -0.0078,  ...,  0.0000,  0.0000, -0.0030],
        [ 0.0000,  0.0000,  0.3338,  ...,  0.0000,  0.0000,  0.0111]])",0.7672290802001953,128,-0.70770263671875,27,241.68267822265625,"tensor([[   1, 1148]])",-142.06192016601562,"tensor([[  0, 771]])"
