,,rel_nodes_new,rel_edges_new,max_nodes_new,pos_max_nodes_new,min_nodes_new,pos_min_nodes_new,max_edges_new,pos_max_edges_new,min_edges_new,pos_min_edges_new
17,"tensor(879, device='cuda:7')","tensor([ 0.0000e+00,  0.0000e+00,  0.0000e+00,  ...,  0.0000e+00,
        -5.0127e-05,  0.0000e+00])","tensor([[ 0.0000e+00,  0.0000e+00,  0.0000e+00,  ...,  0.0000e+00,
          2.2527e-04,  0.0000e+00],
        [ 0.0000e+00,  0.0000e+00,  0.0000e+00,  ...,  0.0000e+00,
         -7.2728e-05,  0.0000e+00],
        [ 0.0000e+00,  0.0000e+00,  0.0000e+00,  ...,  0.0000e+00,
         -3.7100e-07,  0.0000e+00],
        ...,
        [ 0.0000e+00,  0.0000e+00,  0.0000e+00,  ...,  0.0000e+00,
         -4.3878e-05,  0.0000e+00],
        [ 0.0000e+00,  0.0000e+00,  0.0000e+00,  ...,  0.0000e+00,
          2.1263e-05,  0.0000e+00],
        [ 0.0000e+00,  0.0000e+00,  0.0000e+00,  ...,  0.0000e+00,
         -8.7293e-07,  0.0000e+00]])",2.350616455078125,2113,-0.4687645435333252,879,1089.0609130859375,"tensor([[   3, 2113]])",-747.5457153320312,"tensor([[   1, 2113]])"
35,"tensor(37, device='cuda:7')","tensor([0.0000, 0.0000, 0.2587,  ..., 0.0000, 0.0000, 0.0000])","tensor([[ 0.0000,  0.0000, -0.2065,  ...,  0.0000,  0.0000,  0.0000],
        [ 0.0000,  0.0000,  0.0615,  ...,  0.0000,  0.0000,  0.0000],
        [ 0.0000,  0.0000, -0.0339,  ...,  0.0000,  0.0000,  0.0000],
        ...,
        [ 0.0000,  0.0000, -0.0579,  ...,  0.0000,  0.0000,  0.0000],
        [ 0.0000,  0.0000, -0.0234,  ...,  0.0000,  0.0000,  0.0000],
        [ 0.0000,  0.0000,  0.0142,  ...,  0.0000,  0.0000,  0.0000]])",0.5857340097427368,1672,-0.4911494255065918,37,2.984262466430664,"tensor([[13, 37]])",-4.399007320404053,"tensor([[  16, 1672]])"
24,"tensor(308, device='cuda:7')","tensor([0., 0., 0.,  ..., 0., 0., 0.])","tensor([[0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.]])",0.7397480010986328,308,-0.1359526813030243,8,2.0925395488739014,"tensor([[ 16, 308]])",-1.787772536277771,"tensor([[  5, 308]])"
