,,rel_nodes_new,rel_edges_new,max_nodes_new,pos_max_nodes_new,min_nodes_new,pos_min_nodes_new,max_edges_new,pos_max_edges_new,min_edges_new,pos_min_edges_new
61,"tensor(22065, device='cuda:7')","tensor([0., 0., 0.,  ..., 0., 0., 0.])","tensor([[0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.]])",0.5148060321807861,11695,-0.6465944051742554,22065,1714.3134765625,"tensor([[   1, 5085]])",-1362.86474609375,"tensor([[   8, 5085]])"
18,"tensor(11621, device='cuda:7')","tensor([0., 0., 0.,  ..., 0., 0., 0.])","tensor([[0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.]])",1.3363155126571655,20287,-2.197202205657959,5411,653.967041015625,"tensor([[    0, 18316]])",-1220.258056640625,"tensor([[    1, 18316]])"
24,"tensor(2167, device='cuda:7')","tensor([0., 0., 0.,  ..., 0., 0., 0.])","tensor([[0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.]])",0.46530187129974365,11830,-1.0311793088912964,2167,22.649795532226562,"tensor([[   1, 1086]])",-26.51310920715332,"tensor([[   0, 1086]])"
